Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,1.12031599,0.21169591,3.27521713,4.99820212,2.63658806,1.48176337
Evidence_AND_Example,1.39533747,0.23159160,3.42383779,5.22062071,2.92999218,2.01077187
Evidence_AND_Insights,1.23455982,0.30898448,3.59206064,6.44931819,4.05695361,2.24574727
Evidence_AND_Role,5.83088826,0.51735876,4.76141318,6.09799905,3.19346024,2.10828203
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.03203094,0.00009471,0.01166205,0.03117118,0.01440257,0.43322177
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.07446303,0.08532385,0.15630701,1.41703333,1.38628406,0.21320291
Insights_AND_Example,0.43387748,0.13044886,0.54633905,1.81513525,1.68812292,0.88890933
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,4.52389071,0.27282120,1.30607967,1.07657573,0.32873993,0.12726688
Role_AND_Example,4.56960650,0.27298194,1.35063940,1.10993914,0.53466171,0.75082699
Role_AND_Insights,4.59881304,0.35814623,1.48359726,2.58155123,1.71619413,0.34963169
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,13.23252048,19.26930530,12.24226835,11.60018238,14.13838968,6.98321287
Summarizer_AND_Evidence,15.33704259,19.58783130,18.43253607,17.73498875,17.64354057,9.75110785
Summarizer_AND_Example,13.31606389,19.28220459,12.31303371,11.95248527,14.56523666,8.59665175
Summarizer_AND_Insights,14.76263513,19.45584770,16.22205096,13.66881780,16.67704886,7.57414593
Summarizer_AND_Role,19.53795468,20.01536355,20.88295773,14.24597987,18.49038480,7.22812748
